               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078191,            0.026895,             0.03719,             0.32092,               0.423,             0.27055,             0.10337,            0.056094,            0.012415,            0.032817,           0.0033099,           0.0033099,            0.070211
                   1,             0.05552,            0.022098,            0.028771,             0.45159,             0.57088,             0.50438,             0.22112,            0.051489,            0.010862,            0.024275,             0.00663,             0.00663,            0.040198
                   2,            0.051472,            0.020388,            0.024759,              0.7245,             0.46084,             0.54534,             0.25185,            0.054202,            0.010222,             0.02809,            0.009937,            0.009937,            0.010172
                   3,             0.04751,            0.020057,            0.021207,             0.69336,             0.54381,             0.61122,             0.33305,            0.043776,            0.011835,            0.019954,           0.0099406,           0.0099406,           0.0099406
                   4,            0.044306,             0.02055,            0.019762,             0.61043,             0.52311,             0.52889,             0.28867,            0.041776,            0.010808,            0.027901,           0.0099406,           0.0099406,           0.0099406
                   5,            0.043134,            0.020168,            0.018602,             0.73184,             0.62532,             0.68034,             0.38371,            0.040357,            0.010799,            0.013144,           0.0099208,           0.0099208,           0.0099208
                   6,            0.040512,            0.020052,             0.01789,             0.62761,             0.62792,             0.63514,             0.36633,            0.040774,            0.010472,            0.019948,            0.009901,            0.009901,            0.009901
                   7,            0.040094,            0.019791,            0.017832,             0.50605,              0.5229,             0.52267,             0.29768,             0.04211,            0.011256,            0.023043,           0.0098812,           0.0098812,           0.0098812
                   8,            0.040069,            0.019238,            0.016674,             0.80109,             0.65227,             0.72531,             0.44151,            0.037361,           0.0099452,            0.019074,           0.0098614,           0.0098614,           0.0098614
                   9,            0.038269,            0.018983,            0.015777,             0.84702,             0.60443,             0.71576,             0.43272,            0.039861,            0.010681,             0.01314,           0.0098416,           0.0098416,           0.0098416
                  10,            0.037757,            0.018852,            0.014641,             0.79421,             0.67658,             0.73315,             0.45964,            0.038458,            0.010249,            0.016354,           0.0098218,           0.0098218,           0.0098218
                  11,            0.037036,            0.019079,            0.013361,             0.79663,             0.72205,              0.7455,               0.464,            0.038108,             0.01008,            0.013459,            0.009802,            0.009802,            0.009802
                  12,            0.036947,            0.018238,            0.014017,             0.72757,             0.66308,              0.7178,             0.45564,            0.036614,           0.0098133,            0.019873,           0.0097822,           0.0097822,           0.0097822
                  13,            0.036112,            0.018482,            0.013904,             0.71692,             0.74416,             0.75498,             0.45945,            0.036233,           0.0097183,             0.01251,           0.0097624,           0.0097624,           0.0097624
                  14,             0.03666,            0.018162,            0.013163,             0.83779,             0.74112,             0.80381,             0.50695,            0.034632,           0.0091704,           0.0092743,           0.0097426,           0.0097426,           0.0097426
                  15,            0.035288,            0.017985,            0.013261,             0.73093,              0.7886,              0.7932,               0.496,            0.035537,           0.0092995,             0.01278,           0.0097228,           0.0097228,           0.0097228
                  16,            0.034857,             0.01806,            0.011968,             0.83261,             0.73079,             0.80073,             0.51777,            0.034981,           0.0092935,            0.014056,            0.009703,            0.009703,            0.009703
