,ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Dataset Name,Reviews,View Label,Has Open Issues,Skipped
0,cl1gtwuoz01h110atgo4t68rl,cl1gtk7fh297z0zqje4bf7qrh,https://storage.labelbox.com/cl1gsuzz82f6s0z8l2pvlg16a%2F87e7d2b9-3b40-8665-3537-6bc363d74899-3fdfccc2a1.jpg?Expires=1650482956251&KeyName=labelbox-assets-key-3&Signature=9pjx0ds4Pio7qBRPvzd9t3cz2kY,"{'objects': [{'featureId': 'cl1gtx3vx00013e5mvzs0vpld', 'schemaId': 'cl1gttl6k00xj0zch2imd3f9t', 'color': '#1CE6FF', 'title': 'honeybee', 'value': 'honeybee', 'bbox': {'top': 0, 'left': 81, 'height': 161, 'width': 149}, 'instanceURI': 'https://api.labelbox.com/masks/feature/cl1gtx3vx00013e5mvzs0vpld?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjbDFnc3YwM2IyZjZ0MHo4bDFhbHg3YWc1Iiwib3JnYW5pemF0aW9uSWQiOiJjbDFnc3V6ejgyZjZzMHo4bDJwdmxnMTZhIiwiaWF0IjoxNjQ5MjczMzUyLCJleHAiOjE2NTE4NjUzNTJ9.R8JtQjprhALpP4qS7JTrtFvdOszvMD2pzWbhIbRb_SA'}], 'classifications': [], 'relationships': []}",borichh.19@william.jewell.edu,Bees,2022-04-01T19:39:23.000Z,2022-04-01T19:39:23.808Z,4.952,3fdfccc2a1.jpg,-1,-1,,HoneyBees,[],https://editor.labelbox.com?project=cl1gtde9x3drh0zal8b3e6oai&label=cl1gtwuoz01h110atgo4t68rl,0,False
1,cl1gtwyam01ri0z8z162w7eaq,cl1gtk7fh29830zqj3h4v3ija,https://storage.labelbox.com/cl1gsuzz82f6s0z8l2pvlg16a%2F521fb687-98ed-6ebc-f4eb-1a1983ccdbc8-6ae04930da.jpg?Expires=1650482956251&KeyName=labelbox-assets-key-3&Signature=LaoXKvEIHLS99RIhnBSkvYROhMw,"{'objects': [{'featureId': 'cl1gtyju900043e5mgpoeke4o', 'schemaId': 'cl1gttl6k00xj0zch2imd3f9t', 'color': '#1CE6FF', 'title': 'honeybee', 'value': 'honeybee', 'bbox': {'top': 57, 'left': 63, 'height': 95, 'width': 82}, 'instanceURI': 'https://api.labelbox.com/masks/feature/cl1gtyju900043e5mgpoeke4o?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjbDFnc3YwM2IyZjZ0MHo4bDFhbHg3YWc1Iiwib3JnYW5pemF0aW9uSWQiOiJjbDFnc3V6ejgyZjZzMHo4bDJwdmxnMTZhIiwiaWF0IjoxNjQ5MjczMzUyLCJleHAiOjE2NTE4NjUzNTJ9.R8JtQjprhALpP4qS7JTrtFvdOszvMD2pzWbhIbRb_SA'}], 'classifications': [], 'relationships': []}",borichh.19@william.jewell.edu,Bees,2022-04-01T19:40:54.000Z,2022-04-01T19:40:54.228Z,4.991,6ae04930da.jpg,-1,-1,,HoneyBees,[],https://editor.labelbox.com?project=cl1gtde9x3drh0zal8b3e6oai&label=cl1gtwyam01ri0z8z162w7eaq,0,False
2,cl1kxeeq20ayk0z8q34b6a0am,cl1kx35cw4lxi0zw6ewnrdpp3,https://storage.labelbox.com/cl1gsuzz82f6s0z8l2pvlg16a%2Fe0a01eeb-570d-4251-3f57-506ed01d125d-0a04ad5b94.jpg?Expires=1650482956252&KeyName=labelbox-assets-key-3&Signature=mLv8JcEQhCqFlF-0Qqrry5OB0so,"{'objects': [{'featureId': 'cl1kxejqm00013e5mzwt0l4hg', 'schemaId': 'cl1gttl6k00xj0zch2imd3f9t', 'color': '#1CE6FF', 'title': 'honeybee', 'value': 'honeybee', 'bbox': {'top': 51, 'left': 593, 'height': 475, 'width': 636}, 'instanceURI': 'https://api.labelbox.com/masks/feature/cl1kxejqm00013e5mzwt0l4hg?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjbDFnc3YwM2IyZjZ0MHo4bDFhbHg3YWc1Iiwib3JnYW5pemF0aW9uSWQiOiJjbDFnc3V6ejgyZjZzMHo4bDJwdmxnMTZhIiwiaWF0IjoxNjQ5MjczMzUyLCJleHAiOjE2NTE4NjUzNTJ9.R8JtQjprhALpP4qS7JTrtFvdOszvMD2pzWbhIbRb_SA'}], 'classifications': [], 'relationships': []}",borichh.19@william.jewell.edu,Bees,2022-04-04T16:27:44.000Z,2022-04-04T16:27:45.981Z,0.024,0a04ad5b94.jpg,-1,-1,,HoneyBees,[],https://editor.labelbox.com?project=cl1gtde9x3drh0zal8b3e6oai&label=cl1kxeeq20ayk0z8q34b6a0am,0,False
3,cl1kxeqar0b210z8qat67fpzy,cl1kx35cw4lxq0zw60htrg9bd,https://storage.labelbox.com/cl1gsuzz82f6s0z8l2pvlg16a%2F3fcf49b8-6030-44e1-4235-55778564d93e-0a4519cbfb.jpg?Expires=1650482956252&KeyName=labelbox-assets-key-3&Signature=bK-yp0x-cxImWHiwBYWxdBSx75Y,"{'objects': [{'featureId': 'cl1kxnilv00063e5mk9tiex6t', 'schemaId': 'cl1gttl6k00xj0zch2imd3f9t', 'color': '#1CE6FF', 'title': 'honeybee', 'value': 'honeybee', 'bbox': {'top': 44, 'left': 85, 'height': 120, 'width': 113}, 'instanceURI': 'https://api.labelbox.com/masks/feature/cl1kxnilv00063e5mk9tiex6t?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjbDFnc3YwM2IyZjZ0MHo4bDFhbHg3YWc1Iiwib3JnYW5pemF0aW9uSWQiOiJjbDFnc3V6ejgyZjZzMHo4bDJwdmxnMTZhIiwiaWF0IjoxNjQ5MjczMzUyLCJleHAiOjE2NTE4NjUzNTJ9.R8JtQjprhALpP4qS7JTrtFvdOszvMD2pzWbhIbRb_SA'}, {'featureId': 'cl1kxnovh00093e5m0bggr63h', 'schemaId': 'cl1gttl6k00xj0zch2imd3f9t', 'color': '#1CE6FF', 'title': 'honeybee', 'value': 'honeybee', 'bbox': {'top': 46, 'left': 200, 'height': 106, 'width': 75}, 'instanceURI': 'https://api.labelbox.com/masks/feature/cl1kxnovh00093e5m0bggr63h?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjbDFnc3YwM2IyZjZ0MHo4bDFhbHg3YWc1Iiwib3JnYW5pemF0aW9uSWQiOiJjbDFnc3V6ejgyZjZzMHo4bDJwdmxnMTZhIiwiaWF0IjoxNjQ5MjczMzUyLCJleHAiOjE2NTE4NjUzNTJ9.R8JtQjprhALpP4qS7JTrtFvdOszvMD2pzWbhIbRb_SA'}], 'classifications': [], 'relationships': []}",borichh.19@william.jewell.edu,Bees,2022-04-04T16:34:51.000Z,2022-04-04T16:34:53.567Z,1.868,0a4519cbfb.jpg,-1,-1,,HoneyBees,[],https://editor.labelbox.com?project=cl1gtde9x3drh0zal8b3e6oai&label=cl1kxeqar0b210z8qat67fpzy,0,False
4,cl1kxnxaf0e2u0z8rh79d826g,cl1kx35cw4lxy0zw6eongdfjm,https://storage.labelbox.com/cl1gsuzz82f6s0z8l2pvlg16a%2Ffe51aebe-131b-c905-6705-c3947c74e90c-0adc2522db.jpg?Expires=1650482956253&KeyName=labelbox-assets-key-3&Signature=FxerzOoYHnw6uVdOxG42Tk-YGkQ,"{'objects': [{'featureId': 'cl1kxo5k2000c3e5mvs5b6myv', 'schemaId': 'cl1gttl6k00xj0zch2imd3f9t', 'color': '#1CE6FF', 'title': 'honeybee', 'value': 'honeybee', 'bbox': {'top': 120, 'left': 72, 'height': 74, 'width': 57}, 'instanceURI': 'https://api.labelbox.com/masks/feature/cl1kxo5k2000c3e5mvs5b6myv?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjbDFnc3YwM2IyZjZ0MHo4bDFhbHg3YWc1Iiwib3JnYW5pemF0aW9uSWQiOiJjbDFnc3V6ejgyZjZzMHo4bDJwdmxnMTZhIiwiaWF0IjoxNjQ5MjczMzUyLCJleHAiOjE2NTE4NjUzNTJ9.R8JtQjprhALpP4qS7JTrtFvdOszvMD2pzWbhIbRb_SA'}], 'classifications': [], 'relationships': []}",borichh.19@william.jewell.edu,Bees,2022-04-04T16:35:10.000Z,2022-04-04T16:35:10.516Z,1.12,0adc2522db.jpg,-1,-1,,HoneyBees,[],https://editor.labelbox.com?project=cl1gtde9x3drh0zal8b3e6oai&label=cl1kxnxaf0e2u0z8rh79d826g,0,False
5,cl1kxo3bx0dre0z8q6528c9o6,cl1kx35cw4ly20zw673xm2geb,https://storage.labelbox.com/cl1gsuzz82f6s0z8l2pvlg16a%2F657d7122-3830-692f-6150-7d33da1610bb-0b5d334c06.jpg?Expires=1650482956253&KeyName=labelbox-assets-key-3&Signature=3N0l33Uic2Z9cbT934xT11ynOsw,"{'objects': [{'featureId': 'cl1kxob4r000f3e5m35394yqh', 'schemaId': 'cl1gttl6k00xj0zch2imd3f9t', 'color': '#1CE6FF', 'title': 'honeybee', 'value': 'honeybee', 'bbox': {'top': 73, 'left': 506, 'height': 341, 'width': 334}, 'instanceURI': 'https://api.labelbox.com/masks/feature/cl1kxob4r000f3e5m35394yqh?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjbDFnc3YwM2IyZjZ0MHo4bDFhbHg3YWc1Iiwib3JnYW5pemF0aW9uSWQiOiJjbDFnc3V6ejgyZjZzMHo4bDJwdmxnMTZhIiwiaWF0IjoxNjQ5MjczMzUyLCJleHAiOjE2NTE4NjUzNTJ9.R8JtQjprhALpP4qS7JTrtFvdOszvMD2pzWbhIbRb_SA'}], 'classifications': [], 'relationships': []}",borichh.19@william.jewell.edu,Bees,2022-04-04T16:35:27.000Z,2022-04-04T16:35:27.455Z,2.714,0b5d334c06.jpg,-1,-1,,HoneyBees,[],https://editor.labelbox.com?project=cl1gtde9x3drh0zal8b3e6oai&label=cl1kxo3bx0dre0z8q6528c9o6,0,False
6,cl1kxo9gu0dtr0z8qbtsx77m5,cl1kx35cw4ly60zw6hjrvgl1y,https://storage.labelbox.com/cl1gsuzz82f6s0z8l2pvlg16a%2F5d4da437-55be-9a24-339a-45c8cbae9ce7-0b6a24a73f.jpg?Expires=1650482956253&KeyName=labelbox-assets-key-3&Signature=F5CdLfsUF0riXJ2daCNYmj-WWwU,"{'objects': [{'featureId': 'cl1kxopuu000i3e5mulvy42dk', 'schemaId': 'cl1gttl6k00xj0zch2imd3f9t', 'color': '#1CE6FF', 'title': 'honeybee', 'value': 'honeybee', 'bbox': {'top': 146, 'left': 167, 'height': 180, 'width': 97}, 'instanceURI': 'https://api.labelbox.com/masks/feature/cl1kxopuu000i3e5mulvy42dk?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjbDFnc3YwM2IyZjZ0MHo4bDFhbHg3YWc1Iiwib3JnYW5pemF0aW9uSWQiOiJjbDFnc3V6ejgyZjZzMHo4bDJwdmxnMTZhIiwiaWF0IjoxNjQ5MjczMzUyLCJleHAiOjE2NTE4NjUzNTJ9.R8JtQjprhALpP4qS7JTrtFvdOszvMD2pzWbhIbRb_SA'}, {'featureId': 'cl1kxouvh000l3e5mntwnp2ou', 'schemaId': 'cl1gttl6k00xj0zch2imd3f9t', 'color': '#1CE6FF', 'title': 'honeybee', 'value': 'honeybee', 'bbox': {'top': 123, 'left': 282, 'height': 270, 'width': 188}, 'instanceURI': 'https://api.labelbox.com/masks/feature/cl1kxouvh000l3e5mntwnp2ou?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjbDFnc3YwM2IyZjZ0MHo4bDFhbHg3YWc1Iiwib3JnYW5pemF0aW9uSWQiOiJjbDFnc3V6ejgyZjZzMHo4bDJwdmxnMTZhIiwiaWF0IjoxNjQ5MjczMzUyLCJleHAiOjE2NTE4NjUzNTJ9.R8JtQjprhALpP4qS7JTrtFvdOszvMD2pzWbhIbRb_SA'}, {'featureId': 'cl1kxp0k9000o3e5mxba1yvub', 'schemaId': 'cl1gttl6k00xj0zch2imd3f9t', 'color': '#1CE6FF', 'title': 'honeybee', 'value': 'honeybee', 'bbox': {'top': 85, 'left': 587, 'height': 367, 'width': 436}, 'instanceURI': 'https://api.labelbox.com/masks/feature/cl1kxp0k9000o3e5mxba1yvub?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjbDFnc3YwM2IyZjZ0MHo4bDFhbHg3YWc1Iiwib3JnYW5pemF0aW9uSWQiOiJjbDFnc3V6ejgyZjZzMHo4bDJwdmxnMTZhIiwiaWF0IjoxNjQ5MjczMzUyLCJleHAiOjE2NTE4NjUzNTJ9.R8JtQjprhALpP4qS7JTrtFvdOszvMD2pzWbhIbRb_SA'}], 'classifications': [], 'relationships': []}",borichh.19@william.jewell.edu,Bees,2022-04-04T16:35:55.000Z,2022-04-04T16:35:55.732Z,4.812,0b6a24a73f.jpg,-1,-1,,HoneyBees,[],https://editor.labelbox.com?project=cl1gtde9x3drh0zal8b3e6oai&label=cl1kxo9gu0dtr0z8qbtsx77m5,0,False
7,cl1kxomdj0e0610ai7z2l7fho,cl1kx35cw4lya0zw6bci96t1o,https://storage.labelbox.com/cl1gsuzz82f6s0z8l2pvlg16a%2F8505cacc-b1e3-8bfd-1149-88f9a81e72ad-0bca559dd0.jpg?Expires=1650482956254&KeyName=labelbox-assets-key-3&Signature=SUMPJ7mGa2EZm9rmfZVnsVeAEYU,"{'objects': [{'featureId': 'cl1kxpbf5000r3e5mufnm6ivb', 'schemaId': 'cl1gttl6k00xl0zch5q2vaze4', 'color': '#FF34FF', 'title': 'bumblebee', 'value': 'bumblebee', 'bbox': {'top': 243, 'left': 196, 'height': 303, 'width': 322}, 'instanceURI': 'https://api.labelbox.com/masks/feature/cl1kxpbf5000r3e5mufnm6ivb?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjbDFnc3YwM2IyZjZ0MHo4bDFhbHg3YWc1Iiwib3JnYW5pemF0aW9uSWQiOiJjbDFnc3V6ejgyZjZzMHo4bDJwdmxnMTZhIiwiaWF0IjoxNjQ5MjczMzUyLCJleHAiOjE2NTE4NjUzNTJ9.R8JtQjprhALpP4qS7JTrtFvdOszvMD2pzWbhIbRb_SA'}], 'classifications': [], 'relationships': []}",borichh.19@william.jewell.edu,Bees,2022-04-04T16:36:06.000Z,2022-04-04T16:36:06.107Z,3.93,0bca559dd0.jpg,-1,-1,,HoneyBees,[],https://editor.labelbox.com?project=cl1gtde9x3drh0zal8b3e6oai&label=cl1kxomdj0e0610ai7z2l7fho,0,False
8,cl1kxpgb70ejc0zd4ct9ueizd,cl1kx35cw4lyi0zw63190e1bj,https://storage.labelbox.com/cl1gsuzz82f6s0z8l2pvlg16a%2F1441352d-90b4-525c-347b-0f4f03685842-0d89bc9267.jpg?Expires=1650482956254&KeyName=labelbox-assets-key-3&Signature=QCLcOarz1n6zfj1pQxA7WDF7HnU,"{'objects': [{'featureId': 'cl1kxpvu1000u3e5mf2g9fa4r', 'schemaId': 'cl1gttl6k00xj0zch2imd3f9t', 'color': '#1CE6FF', 'title': 'honeybee', 'value': 'honeybee', 'bbox': {'top': 32, 'left': 141, 'height': 149, 'width': 100}, 'instanceURI': 'https://api.labelbox.com/masks/feature/cl1kxpvu1000u3e5mf2g9fa4r?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjbDFnc3YwM2IyZjZ0MHo4bDFhbHg3YWc1Iiwib3JnYW5pemF0aW9uSWQiOiJjbDFnc3V6ejgyZjZzMHo4bDJwdmxnMTZhIiwiaWF0IjoxNjQ5MjczMzUyLCJleHAiOjE2NTE4NjUzNTJ9.R8JtQjprhALpP4qS7JTrtFvdOszvMD2pzWbhIbRb_SA'}], 'classifications': [], 'relationships': []}",borichh.19@william.jewell.edu,Bees,2022-04-04T16:36:31.000Z,2022-04-04T16:36:31.711Z,2.256,0d89bc9267.jpg,-1,-1,,HoneyBees,[],https://editor.labelbox.com?project=cl1gtde9x3drh0zal8b3e6oai&label=cl1kxpgb70ejc0zd4ct9ueizd,0,False
9,cl1kxpr6s0emv0zd40jw29nuv,cl1kx35cw4lym0zw60npc57k0,https://storage.labelbox.com/cl1gsuzz82f6s0z8l2pvlg16a%2F8e5f5bcc-4ecd-7747-9aef-d3f99de48810-0d18438404.jpg?Expires=1650482956254&KeyName=labelbox-assets-key-3&Signature=Evieo8lL01yt6NkaRJfmDph2v7A,"{'objects': [{'featureId': 'cl1kxq31t000x3e5mrs5260ae', 'schemaId': 'cl1gttl6k00xj0zch2imd3f9t', 'color': '#1CE6FF', 'title': 'honeybee', 'value': 'honeybee', 'bbox': {'top': 274, 'left': 216, 'height': 439, 'width': 933}, 'instanceURI': 'https://api.labelbox.com/masks/feature/cl1kxq31t000x3e5mrs5260ae?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjbDFnc3YwM2IyZjZ0MHo4bDFhbHg3YWc1Iiwib3JnYW5pemF0aW9uSWQiOiJjbDFnc3V6ejgyZjZzMHo4bDJwdmxnMTZhIiwiaWF0IjoxNjQ5MjczMzUyLCJleHAiOjE2NTE4NjUzNTJ9.R8JtQjprhALpP4qS7JTrtFvdOszvMD2pzWbhIbRb_SA'}], 'classifications': [], 'relationships': []}",borichh.19@william.jewell.edu,Bees,2022-04-04T16:37:14.000Z,2022-04-04T16:37:14.284Z,1.358,0d18438404.jpg,-1,-1,,HoneyBees,[],https://editor.labelbox.com?project=cl1gtde9x3drh0zal8b3e6oai&label=cl1kxpr6s0emv0zd40jw29nuv,0,False
